SAMPLE,LOCATION,TYPE,LENGTH (cm),WIDTH (cm),THICKNESS (cm),WEIGHT (g),CORTEX,RETOUCH,COLOUR,Source (Sr),Source ((Fe),Early,,,,,,,,,,,,
KP3,KUMARA PATCH,Flake,16.5,22.9,2.6,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP4,KUMARA PATCH,Flake,19.9,28.6,2.8,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP5,KUMARA PATCH,Flake,27.7,25.9,4.3,3,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KP6,KUMARA PATCH,Flake,32.9,30.8,6.6,4,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP7,KUMARA PATCH,Debitage,27.5,15.6,2.9,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KP8,KUMARA PATCH,Debitage,24.7,31.1,3.1,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP9,KUMARA PATCH,Flake,38.5,29.8,3.1,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP10,KUMARA PATCH,Flake,31.7,17.8,5.9,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP11,KUMARA PATCH,Flake,20.5,16.2,5.4,1,N,N,Grey,Hahei,Hahei,Y,,,,,,,,,,,,
KP12,KUMARA PATCH,Debitage,19.8,15.6,5.8,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP13,KUMARA PATCH,Flake,19.7,21.7,6.5,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP14,KUMARA PATCH,Flake,24.8,16.8,4.2,1,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP15,KUMARA PATCH,Flake,26,32.4,5.6,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP16,KUMARA PATCH,Flake,34.9,26.7,3.4,3,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP17,KUMARA PATCH,Debitage,29.2,19.5,3.2,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
KP18,KUMARA PATCH,Flake,24.5,23.8,5.5,2,N,N,Green,Mayor Island,Mayor Island,Y,,,,,,,,,,,,
KP19,KUMARA PATCH,Flake,20.3,14.2,5,1,N,N,Grey,Hahei/Tairua,Hahei,Y,,,,,,,,,,,,
